,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
WC,0.25,16.58,3.15,0.99,0.0,0.0,2.59,4.22,12.95,4.75,8.79,2.73,0.48,9.02,0.88,9.36,3.02,5.38,0.14,0.76,0.08,0.11,7.12,2.51,1.77,0.02,2.04,0.24,0.0,0.07,0.0
Analytic,5.39,0.0,3.83,22.58,35.09,10.44,8.23,0.01,4.54,1.44,1.1,0.34,1.8,0.93,0.38,0.17,2.28,0.12,0.0,0.01,0.05,0.08,0.19,0.06,0.28,0.03,0.28,0.0,0.11,0.23,0.0
Clout,49.48,0.15,19.65,1.69,0.03,0.0,1.32,1.5,1.55,0.1,2.58,1.27,3.38,2.53,4.25,3.22,0.01,1.19,0.48,0.37,2.26,1.04,0.08,0.48,0.04,0.72,0.18,0.19,0.22,0.01,0.0
Authentic,32.02,1.27,0.16,0.3,13.5,0.05,0.38,16.59,0.48,11.23,6.76,3.87,0.04,0.61,0.46,0.89,4.34,0.27,0.43,0.0,1.45,1.34,0.05,1.06,0.33,0.46,1.58,0.0,0.03,0.0,0.04
Tone,7.04,8.05,16.32,21.54,0.05,0.18,0.74,3.68,7.7,18.11,3.31,2.34,0.44,2.76,0.32,0.12,1.45,1.34,0.04,0.0,1.55,0.11,1.34,0.03,0.07,0.74,0.07,0.01,0.28,0.06,0.22
WPS,2.07,54.88,0.06,3.16,6.53,0.13,0.14,1.88,0.03,1.75,0.42,4.25,2.86,0.05,0.17,0.04,0.48,10.52,0.57,3.93,2.29,0.98,0.61,0.0,0.82,0.48,0.44,0.07,0.28,0.0,0.09
Sixltr,0.14,18.36,37.24,0.0,0.31,4.48,0.05,3.09,0.56,1.18,17.26,0.03,5.19,0.0,3.83,0.17,0.02,1.15,0.58,0.31,1.14,0.01,1.72,1.06,0.82,0.03,0.04,0.55,0.11,0.5,0.03
Dic,35.87,1.11,9.03,17.37,11.0,2.56,4.43,10.65,1.9,0.13,0.15,0.09,0.11,0.0,1.39,0.0,0.06,0.05,0.58,0.01,0.41,1.01,0.76,0.02,1.24,0.03,0.0,0.0,0.0,0.02,0.01
function,38.46,0.11,16.21,5.67,27.46,0.0,0.2,0.56,1.32,1.32,0.4,1.52,1.19,0.08,0.95,0.59,0.28,0.29,0.11,0.83,0.11,0.55,0.06,0.01,0.81,0.76,0.0,0.02,0.04,0.07,0.01
pronoun,13.38,24.0,2.24,10.67,16.81,12.65,0.59,4.39,0.17,2.55,6.93,0.97,0.57,0.32,0.42,0.02,1.39,0.19,0.41,0.71,0.35,0.06,0.07,0.01,0.09,0.02,0.0,0.01,0.01,0.01,0.01
ppron,0.5,37.06,2.35,28.68,5.97,0.88,3.1,0.31,2.59,4.3,0.0,0.81,1.79,4.19,0.15,0.52,5.09,0.29,0.26,0.17,0.02,0.03,0.01,0.3,0.36,0.01,0.02,0.11,0.07,0.03,0.03
i,41.35,0.28,10.96,1.86,0.03,1.66,1.85,3.88,4.65,5.43,0.5,0.21,4.77,3.57,0.55,10.75,4.39,0.24,0.05,0.07,0.98,0.27,0.28,0.29,0.34,0.07,0.32,0.18,0.16,0.03,0.0
we,3.9,36.86,16.32,1.4,9.76,2.55,0.47,10.89,0.43,0.26,1.23,0.23,0.22,6.18,0.14,0.27,4.41,0.05,0.04,0.93,0.45,1.76,0.23,0.62,0.27,0.0,0.06,0.0,0.03,0.01,0.02
you,2.13,6.14,3.1,58.56,0.2,7.52,0.86,1.93,0.0,0.64,0.02,7.14,0.1,0.77,0.32,4.38,0.47,0.66,0.14,0.65,1.64,2.35,0.06,0.03,0.06,0.0,0.09,0.02,0.05,0.01,0.0
shehe,28.52,2.91,0.32,37.98,3.04,1.63,3.38,0.13,0.01,0.01,1.36,0.82,0.0,8.14,1.26,0.35,3.53,0.27,2.62,0.2,1.75,0.65,0.0,0.42,0.56,0.01,0.0,0.0,0.01,0.0,0.12
they,0.09,8.57,3.48,7.82,0.26,10.07,0.31,18.99,4.01,8.05,10.17,14.01,0.43,4.82,1.15,0.01,0.24,2.93,0.34,0.76,1.02,1.27,0.03,0.55,0.03,0.0,0.28,0.12,0.1,0.01,0.08
ipron,30.66,1.4,0.0,5.65,5.05,11.56,1.39,11.21,6.24,0.24,11.01,5.53,0.45,3.18,1.69,1.13,1.58,0.01,0.03,0.33,0.89,0.01,0.05,0.3,0.13,0.0,0.04,0.07,0.05,0.0,0.1
article,0.07,2.79,20.18,6.26,0.41,31.25,3.39,4.53,12.08,3.94,2.6,1.17,0.12,4.97,0.34,2.19,0.67,0.37,0.76,0.01,0.36,0.02,0.08,0.7,0.03,0.04,0.02,0.03,0.0,0.45,0.2
prep,12.53,0.04,10.24,10.86,10.86,0.02,8.49,4.39,4.03,0.78,3.51,1.26,10.54,1.84,0.06,1.14,11.29,2.44,0.2,1.18,1.39,1.59,0.48,0.37,0.03,0.02,0.0,0.08,0.0,0.08,0.26
auxverb,7.2,18.97,7.71,19.32,19.9,2.04,6.73,0.0,0.01,0.13,1.91,2.68,3.22,0.31,1.73,0.09,2.67,0.71,0.4,1.33,1.03,0.41,0.09,0.0,0.0,0.18,0.64,0.01,0.33,0.25,0.0
adverb,0.22,4.19,8.28,6.92,14.76,31.09,3.81,6.08,0.01,4.13,0.19,0.71,1.56,0.91,0.57,0.09,0.46,0.49,2.66,2.9,0.19,1.27,5.95,0.88,0.37,0.62,0.25,0.18,0.09,0.03,0.11
conj,4.99,42.3,14.49,0.15,1.43,3.53,10.33,0.07,0.01,7.33,0.14,6.34,0.84,0.33,2.82,1.35,0.17,0.01,0.03,0.01,0.63,0.73,0.01,0.1,1.33,0.07,0.21,0.02,0.05,0.15,0.03
negate,26.35,21.1,19.2,8.17,0.58,0.23,7.36,0.27,5.57,0.12,1.78,1.43,0.06,0.13,1.68,0.13,3.43,0.0,0.03,0.01,0.03,0.67,0.0,0.15,0.26,0.49,0.32,0.4,0.01,0.0,0.06
verb,31.69,14.93,0.06,9.72,4.58,0.01,16.34,0.0,1.18,0.41,3.1,0.21,4.73,0.16,1.41,1.65,2.14,0.72,0.53,3.07,0.29,0.48,0.14,0.71,0.01,1.02,0.01,0.46,0.21,0.0,0.04
adj,33.57,11.74,21.49,1.08,2.34,4.7,3.01,0.08,2.31,1.7,1.04,3.32,1.47,0.18,2.02,0.47,0.15,0.15,0.0,0.84,1.2,3.44,2.24,0.43,0.0,0.53,0.02,0.0,0.35,0.09,0.06
compare,49.25,0.0,24.94,0.25,4.34,9.11,0.0,0.0,0.13,0.45,0.07,0.57,4.46,1.12,0.14,0.06,0.55,0.63,0.05,0.0,0.16,2.16,0.41,0.5,0.02,0.17,0.32,0.01,0.04,0.02,0.08
interrog,47.51,9.14,19.79,0.59,5.31,0.91,3.63,0.62,0.0,0.19,2.63,0.69,0.01,0.96,3.04,0.13,0.49,0.18,0.18,1.71,0.28,1.05,0.01,0.16,0.04,0.02,0.14,0.42,0.02,0.14,0.02
number,40.37,0.17,37.3,4.48,0.05,0.0,2.89,3.12,2.49,0.22,1.56,0.18,2.43,0.75,0.33,0.21,0.27,0.32,0.54,0.13,0.46,0.0,0.9,0.25,0.17,0.03,0.16,0.0,0.12,0.1,0.0
quant,32.41,6.31,41.01,1.78,0.02,0.56,2.03,1.7,1.83,1.87,1.17,0.57,0.17,1.42,2.49,0.0,0.02,0.79,0.19,0.04,0.46,0.1,0.34,0.04,0.29,1.82,0.05,0.44,0.0,0.1,0.01
affect,32.75,0.9,1.45,4.46,0.13,29.81,13.36,7.9,0.19,0.47,3.81,0.06,0.1,1.03,0.48,0.1,0.05,0.01,0.0,0.57,1.15,0.0,0.02,0.03,0.71,0.32,0.08,0.0,0.01,0.0,0.03
posemo,39.45,4.74,26.58,1.86,1.42,1.96,9.93,4.65,2.5,1.65,3.19,0.23,0.09,0.03,0.03,0.14,0.28,0.02,0.03,0.07,0.54,0.05,0.0,0.1,0.09,0.23,0.0,0.01,0.13,0.02,0.0
negemo,0.05,13.88,18.96,18.58,3.37,30.16,1.28,1.38,1.59,5.59,0.24,0.05,0.01,2.36,0.51,0.0,0.1,0.0,0.03,0.45,0.32,0.1,0.05,0.02,0.56,0.05,0.18,0.01,0.08,0.02,0.04
anx,0.18,4.0,11.82,19.55,26.23,24.84,0.07,0.19,2.27,0.17,0.98,0.75,0.05,0.11,0.1,0.62,0.19,0.48,2.01,0.96,0.21,0.0,0.79,2.78,0.0,0.0,0.0,0.01,0.6,0.0,0.03
anger,0.17,5.17,5.46,1.42,13.41,1.07,17.0,0.13,0.97,14.62,4.58,4.55,10.94,4.23,10.27,0.48,0.78,0.3,2.68,0.0,0.49,0.02,0.4,0.1,0.09,0.07,0.47,0.0,0.01,0.07,0.04
sad,0.04,3.48,11.82,23.2,6.2,32.22,0.94,3.18,1.33,0.0,0.0,0.42,4.79,0.0,3.55,1.48,0.29,1.92,0.04,1.65,0.0,0.95,0.17,0.51,0.85,0.39,0.0,0.18,0.25,0.08,0.04
social,32.64,47.44,0.78,10.36,2.06,1.34,0.37,0.05,0.49,0.18,0.43,0.57,0.9,0.0,0.0,0.51,0.46,0.16,0.37,0.02,0.0,0.04,0.14,0.02,0.15,0.19,0.07,0.02,0.02,0.16,0.05
family,43.42,0.02,29.29,3.5,0.28,0.1,2.85,5.89,0.15,0.04,0.36,0.18,2.53,2.45,0.82,2.25,2.05,1.58,0.02,0.32,0.26,0.01,0.47,0.13,0.32,0.01,0.21,0.32,0.07,0.04,0.09
friend,0.84,23.71,3.83,1.36,3.92,8.28,0.84,5.5,2.22,0.99,4.17,2.28,15.45,4.73,0.58,0.45,6.88,0.76,1.42,0.0,0.67,3.05,5.7,0.02,0.95,0.15,0.25,0.51,0.01,0.03,0.43
female,23.93,7.23,21.02,0.09,1.44,0.32,0.35,3.92,6.02,10.26,2.05,6.7,1.7,6.91,0.02,2.07,0.0,1.88,0.16,0.04,0.12,1.18,0.03,0.06,0.19,0.0,0.95,0.2,0.68,0.32,0.15
male,54.66,23.01,1.89,3.49,2.89,4.44,0.06,0.73,2.75,0.01,0.13,0.1,0.0,0.04,0.0,0.18,1.0,0.02,0.33,0.0,3.06,0.59,0.01,0.03,0.0,0.1,0.41,0.0,0.02,0.03,0.02
cogproc,56.62,1.41,17.5,0.07,0.46,14.02,0.13,1.07,0.01,0.16,3.57,0.04,0.51,0.63,0.45,0.39,0.04,0.11,0.08,0.05,0.27,0.74,0.66,0.57,0.39,0.0,0.03,0.0,0.01,0.02,0.0
insight,25.63,32.64,5.96,10.09,1.6,15.42,0.62,0.23,0.88,0.37,0.95,0.02,2.28,0.32,0.11,0.0,0.65,0.6,0.83,0.04,0.07,0.02,0.55,0.01,0.01,0.01,0.01,0.07,0.01,0.01,0.04
cause,0.23,7.58,2.99,7.02,18.04,2.5,10.26,13.04,1.13,12.75,6.15,0.27,2.74,0.17,0.61,2.2,0.02,0.37,0.4,3.74,2.74,1.6,0.01,0.79,1.59,0.01,0.62,0.0,0.38,0.02,0.02
discrep,3.96,19.73,0.48,16.92,9.61,4.77,8.39,19.02,1.83,0.81,1.02,1.06,0.06,0.0,1.02,2.73,0.09,0.0,2.13,0.03,2.37,0.12,0.37,1.33,0.03,0.13,1.28,0.0,0.07,0.59,0.0
tentat,3.61,21.12,0.61,18.74,4.0,3.78,6.05,0.26,0.29,0.16,1.5,3.92,14.89,4.52,9.51,0.0,0.5,3.53,1.57,0.01,0.1,0.24,0.39,0.0,0.27,0.01,0.0,0.12,0.12,0.12,0.05
certain,1.09,31.65,3.72,2.07,3.28,12.44,1.89,3.73,0.55,2.63,0.6,2.46,15.01,0.94,0.95,0.18,1.51,12.47,0.02,0.26,0.01,0.02,0.13,0.0,0.12,0.1,1.95,0.02,0.03,0.16,0.01
differ,52.97,0.03,25.18,0.32,0.01,2.26,1.92,5.38,1.93,0.25,0.04,0.01,0.64,0.1,0.16,2.57,0.28,0.08,1.45,0.26,0.0,2.0,0.42,1.25,0.14,0.08,0.16,0.05,0.0,0.0,0.06
percept,37.27,1.31,8.2,0.19,21.83,1.04,5.93,11.2,2.0,0.01,3.7,0.3,0.68,0.18,1.12,0.38,1.03,0.08,1.57,0.88,0.07,0.14,0.0,0.17,0.39,0.07,0.01,0.0,0.24,0.01,0.01
see,0.22,10.68,0.17,9.58,7.6,0.02,18.88,4.87,1.57,10.84,3.61,1.93,14.21,6.82,2.01,0.92,0.25,0.31,0.14,0.06,0.59,0.07,0.09,0.51,1.16,2.31,0.09,0.0,0.42,0.04,0.05
hear,31.28,14.14,6.07,0.0,15.29,5.66,16.1,0.77,0.14,0.58,0.18,0.04,3.22,0.05,0.83,1.43,0.91,0.78,0.95,0.27,0.47,0.0,0.31,0.15,0.32,0.0,0.02,0.0,0.01,0.04,0.01
feel,0.22,23.09,1.54,0.47,0.03,14.67,1.3,17.27,16.81,0.94,6.38,5.19,0.38,0.05,0.01,0.03,0.1,1.22,2.71,3.25,0.01,1.39,0.58,0.33,0.36,0.03,0.47,0.33,0.75,0.08,0.01
bio,3.13,38.33,0.85,9.47,0.0,11.81,0.75,7.06,2.93,0.08,1.8,1.26,0.18,2.0,2.42,4.14,1.53,5.91,2.03,2.3,0.0,0.88,0.04,0.02,0.79,0.0,0.04,0.17,0.0,0.05,0.01
body,0.35,26.66,4.12,2.54,0.16,8.43,2.18,17.34,6.27,8.49,3.9,0.5,0.87,1.9,6.31,4.98,0.04,0.06,0.0,1.73,1.07,0.1,0.76,0.0,0.4,0.59,0.18,0.03,0.04,0.0,0.0
health,2.93,23.81,0.05,6.14,3.62,11.58,0.76,5.61,1.64,3.16,1.05,0.0,0.12,0.04,0.85,0.16,5.32,18.88,6.21,1.81,1.25,0.7,0.07,0.28,0.9,2.66,0.0,0.22,0.0,0.0,0.17
sexual,0.08,11.03,2.3,4.02,1.3,0.38,1.64,0.17,35.11,16.41,2.23,6.74,0.03,0.02,2.7,3.55,0.55,0.47,1.07,0.09,1.07,1.98,0.23,0.32,0.09,2.96,2.93,0.4,0.01,0.13,0.0
ingest,2.57,0.37,2.82,6.42,8.05,0.34,26.78,2.05,0.26,10.99,0.0,0.14,3.7,0.82,3.22,3.77,0.42,0.03,23.29,0.0,0.29,0.84,1.56,0.32,0.2,0.42,0.12,0.2,0.01,0.0,0.01
drives,14.75,27.14,22.04,9.47,9.99,1.96,3.68,0.0,0.2,0.32,0.14,2.15,1.86,0.11,1.4,2.14,1.6,0.47,0.12,0.01,0.01,0.14,0.0,0.06,0.0,0.0,0.05,0.1,0.0,0.07,0.01
affiliation,3.41,29.75,22.32,1.75,11.09,9.81,0.09,6.23,2.0,0.29,4.1,0.54,0.29,1.65,0.1,0.33,2.53,1.76,0.0,0.49,0.47,0.24,0.01,0.04,0.01,0.06,0.13,0.37,0.03,0.0,0.09
achieve,8.12,6.77,2.08,39.59,0.0,1.4,25.91,0.09,3.05,3.48,0.24,1.4,1.42,0.3,1.1,0.95,0.13,0.02,2.52,0.23,0.44,0.08,0.2,0.2,0.04,0.01,0.0,0.0,0.19,0.0,0.03
power,16.11,6.32,2.08,37.48,0.45,1.21,5.12,15.25,4.72,0.95,0.15,0.46,0.51,0.27,4.19,1.74,0.12,0.45,0.38,0.25,0.29,0.0,0.03,0.54,0.16,0.14,0.09,0.01,0.01,0.47,0.06
reward,0.59,0.02,5.27,5.36,22.31,7.19,12.97,0.91,0.22,9.25,19.97,4.39,5.22,0.89,0.1,0.42,0.99,0.14,0.33,0.62,0.28,0.0,0.0,0.12,0.37,0.67,0.75,0.46,0.05,0.1,0.0
risk,0.23,15.15,1.42,0.16,1.82,1.01,0.56,4.14,14.67,2.7,1.94,0.03,0.0,11.84,9.34,10.08,0.05,2.1,0.74,16.66,1.34,0.14,1.79,0.08,1.37,0.07,0.26,0.05,0.02,0.15,0.07
focuspast,0.24,5.06,23.69,25.88,10.6,5.13,0.02,1.93,1.34,0.69,0.39,0.34,4.08,11.02,3.28,0.05,0.02,0.27,0.28,2.55,0.27,0.42,0.5,0.33,0.0,0.01,0.07,1.49,0.01,0.0,0.01
focuspresent,25.64,18.61,26.88,4.34,1.15,0.14,1.0,0.74,0.19,1.33,3.47,1.56,2.25,0.05,1.02,0.51,0.85,2.1,0.06,3.3,2.45,0.9,0.12,0.41,0.15,0.01,0.2,0.21,0.01,0.06,0.27
focusfuture,3.47,8.06,3.81,7.52,0.12,7.01,44.93,9.92,0.78,0.97,0.0,0.42,0.35,2.05,0.06,4.67,0.0,0.52,0.0,3.33,0.56,0.02,0.02,0.01,0.01,0.68,0.3,0.07,0.11,0.01,0.21
relativ,3.02,3.26,43.33,2.04,19.55,0.0,0.99,2.09,0.02,4.6,0.75,5.84,0.54,5.27,0.03,0.58,5.83,0.15,0.0,0.14,0.04,0.64,0.0,0.02,0.81,0.01,0.13,0.08,0.22,0.01,0.01
motion,0.12,1.0,34.81,2.38,14.32,6.69,9.2,2.39,1.92,2.24,7.47,1.29,2.27,0.04,0.07,0.82,4.88,0.95,0.38,0.52,2.32,1.9,1.13,0.05,0.13,0.29,0.0,0.31,0.01,0.07,0.05
space,2.02,3.89,48.26,0.22,11.04,5.66,0.61,3.74,0.06,1.28,0.54,0.8,0.03,9.34,1.79,4.06,0.43,0.5,0.2,0.63,2.54,0.24,0.37,0.46,0.35,0.62,0.21,0.06,0.05,0.01,0.0
time,5.48,31.42,18.57,0.05,0.06,0.02,0.02,7.19,5.59,4.07,7.98,7.04,0.03,0.59,0.68,1.94,0.37,0.84,2.64,0.51,2.32,0.58,0.5,0.05,0.43,0.02,0.05,0.07,0.6,0.07,0.22
work,3.19,7.68,0.14,2.62,1.97,6.8,0.52,14.18,2.59,5.57,3.61,23.96,4.05,1.97,0.57,0.07,0.71,7.47,2.14,1.85,2.72,0.29,2.08,0.76,1.13,0.31,0.85,0.02,0.06,0.08,0.05
leisure,1.48,0.22,3.76,14.09,19.91,0.58,29.94,0.32,0.24,4.03,0.05,2.8,0.01,0.04,4.72,0.45,5.37,0.03,5.18,3.78,0.45,0.96,0.1,0.04,0.48,0.73,0.0,0.0,0.07,0.04,0.13
home,1.32,7.12,0.17,3.98,6.15,5.84,0.01,14.94,20.92,1.59,7.2,12.12,8.66,3.9,0.21,0.08,0.01,0.44,0.87,0.01,0.08,0.52,1.07,0.65,0.85,0.23,0.83,0.03,0.09,0.11,0.0
money,0.35,5.16,2.36,8.38,6.08,0.28,0.85,20.07,1.89,0.22,21.67,9.94,2.75,0.02,2.3,6.85,1.53,0.15,2.12,0.34,0.07,0.0,0.09,4.58,0.11,1.15,0.17,0.06,0.43,0.01,0.01
relig,23.84,40.7,2.13,17.95,1.92,1.78,0.75,0.47,0.14,2.31,1.68,1.28,0.65,0.0,1.22,0.27,0.06,0.03,0.45,0.26,0.0,0.41,0.21,0.29,0.1,0.79,0.11,0.05,0.05,0.0,0.1
death,0.03,8.66,6.39,2.12,21.33,0.04,0.69,1.64,8.2,0.01,5.92,0.13,3.35,0.45,37.32,0.26,0.19,1.08,0.03,0.13,0.37,0.3,0.0,0.38,0.02,0.39,0.0,0.29,0.0,0.26,0.0
informal,25.32,3.05,16.31,14.92,2.21,18.07,0.94,0.1,1.73,0.43,0.66,0.16,2.58,0.96,1.32,4.26,0.5,0.97,2.85,1.23,0.24,0.0,0.01,0.21,0.1,0.02,0.0,0.55,0.07,0.22,0.01
swear,0.01,9.65,0.37,2.67,7.65,0.08,18.54,7.3,0.0,0.8,2.06,0.49,1.26,22.61,4.88,3.0,0.01,0.32,3.74,4.54,5.96,0.13,0.15,0.36,1.4,1.79,0.03,0.01,0.02,0.01,0.16
netspeak,32.09,0.08,35.58,4.19,1.7,2.76,3.32,0.1,0.69,0.0,0.67,1.27,7.07,3.66,3.28,1.08,0.03,0.05,1.12,0.15,0.02,0.16,0.01,0.03,0.21,0.06,0.01,0.22,0.03,0.33,0.02
assent,0.01,8.07,2.77,3.21,1.48,0.0,0.62,0.09,33.76,19.01,1.17,6.67,0.01,0.48,3.03,1.39,2.94,1.45,1.07,0.12,1.67,4.3,3.14,0.3,1.2,1.33,0.23,0.15,0.01,0.12,0.16
nonflu,0.0,3.27,5.04,12.91,26.73,25.95,0.04,0.35,0.27,0.19,0.03,6.16,2.75,0.04,0.01,2.86,0.93,2.22,1.33,4.95,0.26,0.72,0.38,0.58,1.54,0.15,0.09,0.24,0.01,0.0,0.01
AllPunc,34.19,34.11,5.75,0.64,7.19,2.41,1.83,0.2,0.0,2.44,0.3,4.47,2.16,0.84,0.23,0.65,0.2,0.18,0.75,0.5,0.11,0.34,0.02,0.05,0.0,0.06,0.15,0.12,0.08,0.0,0.01
Period,0.46,65.69,0.07,2.31,0.57,6.63,2.65,6.14,0.84,3.75,0.46,0.24,1.17,1.63,2.49,0.4,0.04,1.55,0.27,1.15,0.31,0.01,0.0,0.19,0.26,0.04,0.12,0.28,0.12,0.02,0.14
Comma,9.91,0.11,19.87,4.03,10.25,12.37,0.56,4.29,2.2,2.6,0.45,0.12,14.32,1.04,0.76,3.39,2.85,2.3,0.51,0.05,3.53,2.12,0.7,0.23,0.09,0.01,0.47,0.57,0.28,0.02,0.01
Colon,0.07,3.78,0.0,3.42,1.55,0.16,2.28,0.16,11.44,17.69,5.36,0.05,1.72,22.56,0.5,0.05,13.46,2.52,2.63,3.17,0.51,0.0,2.04,2.99,0.04,1.21,0.22,0.4,0.01,0.0,0.0
SemiC,28.05,7.16,23.45,0.04,1.2,1.65,0.21,6.52,0.19,4.91,2.74,13.35,0.32,0.43,0.13,0.41,0.86,0.0,0.01,0.05,7.16,0.0,0.2,0.13,0.12,0.54,0.02,0.0,0.04,0.09,0.0
QMark,6.45,13.31,1.92,47.1,0.0,6.0,15.18,0.28,0.59,0.49,0.98,0.89,0.3,1.66,0.15,1.79,0.01,0.06,1.31,0.56,0.07,0.14,0.04,0.04,0.32,0.01,0.0,0.07,0.24,0.02,0.04
Exclam,0.66,0.15,8.67,0.02,20.73,0.38,5.74,17.22,2.54,0.03,2.34,11.76,2.68,3.77,7.19,7.16,2.73,3.43,0.05,0.03,0.07,0.18,0.26,1.43,0.06,0.12,0.03,0.0,0.52,0.05,0.0
Dash,0.44,2.31,0.13,0.07,9.66,0.14,5.97,14.0,16.75,29.5,0.66,2.85,0.01,2.48,0.86,2.54,2.11,0.03,0.03,2.93,2.77,0.0,0.33,0.93,1.06,0.09,1.11,0.14,0.06,0.0,0.03
Quote,0.56,1.92,1.81,3.84,18.46,6.56,41.99,10.85,1.0,0.02,0.1,0.06,0.01,0.23,0.26,0.39,0.39,0.09,5.42,0.0,2.5,0.41,1.11,0.68,0.04,0.21,0.47,0.06,0.09,0.11,0.36
Apostro,26.0,11.71,1.63,9.36,0.0,23.43,14.69,1.66,0.95,1.57,3.06,1.76,0.0,0.16,0.3,0.0,0.26,1.23,1.1,0.11,0.01,0.0,0.19,0.04,0.13,0.12,0.34,0.07,0.0,0.09,0.0
OtherP,0.17,7.87,0.62,1.02,0.39,10.29,0.16,10.79,36.7,1.6,0.63,2.21,3.03,0.71,7.09,0.29,0.28,0.31,0.02,1.86,0.97,5.25,2.96,3.71,0.38,0.61,0.04,0.0,0.0,0.04,0.01
